A|неопределенный артикль
ACTUALLY|фактически, в настоящее время
ACUTE|острый, проницательный
ADAPT|приспособить, переделать
ADAPTED|Приспособленный
ADD|добавлять, прибавлять
ADDITION|прибавление, сложение
ADDITIONAL|дополнительный
ADDITIONS|Дополнения
ADDRESS|адрес, обращение
ADEPT|знаток, сторонник
ADEQUATE|достаточный, соответствующий
ADHERE|прилипать, приставать ( to) , приклеиваться, хвататься
ADJOINING|Смежный -ing
ADJUST|регулировать, приспосабливать
ADJUSTMENT|регулирование *d-
ADMINISTRATION|администрация
ADMINISTRATOR|администратор
ADMIRABLE|замечательный (не wonderful)
ADMIRAL|адмирал
ADMIRATION|восхищение
ADMIRE|восхищаться
ADMIRED|восхищался (от admire)
ADMIRING|Восхищающийся -ing
ADMISSION|допуск, вход, прием
ADMIT|допускать
ADMITTANCE|впуск, доступ a-ce
ADMITTED|Признанный(допущенный)
ADOPT|принимать, присваивать
ADOPTED|Принятый
ADORE|обожать
ADORN|украшать
ADRIFT|по течению, по воле волн
ADS|реклама
ADULT|взрослый
ADULTS|взрослые (от adult)
ADVANCE|продвижение вперед, продвигать
ADVANCED|передовой
ADVANCING|Продвижение -ing
ADVANTAGE|преимущество, выгода
ADVANTAGES|Преимущества
ADVENTURE|рисковать, отваживаться
ADVENTURER|искатель приключений, авантюрист
ADVENTUROUS|отважный, предприимчивый (не undertaking)
ADVERSARY|противник
ADVERSITY|бедствие, несчастье
ADVERTISE|помещать объявление, рекламировать
ADVERTISEMENT|объявление, реклама
ADVICE|cовет
ADVISE|советовать
ADVISED|Рекомендованный
ADVOCATE|отстаивать, защищать
AERIAL|воздушный, антенна
AEROPLANE|самолет
AFAR|далеко, вдали
AFFAIR|дело, занятие
AFFAIRS|делишки 
AFFECT|влиять, трогать, вредить
AFFECTED|пораженный
AFFECTION|привязанность, любовь
AFFECTIONATE|любящий, нежный
AFFECTIONATELY|Нежно
AFFECTIONS|Привязанности
AFFIRMATIVE|утвердительный
AFFORD|позволить себе
AFFORDED|Предоставляемый *f-
AFFRAY|пугать
AFORE|перед
AFRAID|испуганный
AFRESH|снова, опять
AFTER|после
AFTERNOON|время после полудня
AFTERWARD|Позже
AFTERWARDS|впоследствии, позже
AGAIN|снова
AGAINST|против
AGE|век, возраст
AGED|старый, в возрасте
AGENCY|агентство
AGENT|деятель, исполнитель
AGGREGATE|совокупность
AGGREGATED|Соединенный
AGGREGATION|Скопление
AGITATED|Взволнованный *g- (не thrilled)
AGITATION|агитация
AGONY|мучение, сильная боль
AGREE|соглашаться
AGREEABLE|приятный, милый
AGREED|согласился (от agree)
AGREEMENT|согласие, соглашение
AGRICULTURAL|сельскохозяйственный
AGRICULTURE|сельское хозяйство
AHA|Ага
AHEAD|вперед
AID|помощь
AILEEN|Эйлин
AILING|больной -ing
AIM|целиться, цель
AIR|воздушный, авиационный, проветривать
AIRBORNE|авиационный
AIRLINER|лайнер
AIRPORT|аэропорт
AJAR|приоткрытый
ALARM|тревога, (вс)тревожить (alarm)
ALAS|Увы
ALBERT|Альберт
ALBUM|альбом
ALEC|Алек
ALERT|бдительный, проворный
ALEXIS|Алексис
ALFRED|Альфред
ALIAS|Псевдоним
ALIASES|Псевдонимы
ALIBI|Алиби
ALIBIS|Алиби
ALIGHT|выходить, спускаться
ALIGNMENT|выравнивание, линия
ALIKE|похожий
ALIVE|живой
ALL|все, весь
ALLEGIANCE|преданность, верность
ALLEN|Аллен
ALLEY|аллея, переулок
ALLIED|союзный, родственный
ALLOCATE|предназначать
ALLOCATION|распределение, назначение
ALLOW|разрешать, разрешить
ALLOWANCE|дозволение, допущение (allowance)
ALLOWING|Разрешение -ing
ALLOWS|Позволяет
ALLOY|примесь, сплав
ALLUDED|Ссылался
ALLY|союзник, соединять
ALMOND|миндаль, миндалина
ALMOST|почти, едва не (a-)
ALOFT|наверху, наверх
ALONE|один, одинокий
ALONG|вдоль
ALONGSIDE|рядом
ALOUD|громко, вслух
ALPHABET|алфавит, азбука
ALREADY|уже
ALSO|тоже, также
ALTER|изменять
ALTERATION|изменение, перемена
ALTERED|Измененный (не changed)
ALTERNATE|переменный
ALTERNATIVE|альтернатива, выбор
ALTHOUGH|хотя
ALTITUDE|высота (не highness)
ALTOGETHER|всего, в общем
ALWAYS|всегда
AM|(я) есть (от be)
AMATEUR|любитель
AMAZED|изумлённый, поражённый (не wonder) 
AMAZEMENT|удивление, изумление
AMAZING|Удивительный -ing
AMBER|янтарь, янтарный
AMBIGUOUS|двусмысленный
AMBITION|честолюбие, желание
AMBITIOUS|честолюбивый
AMBULANCE|полевой госпиталь, карета скорой помощи
AMENDS|возмещение
AMIABLE|любезный, милый
AMID|между, посреди, среди 
AMMONIA|аммиак
AMMUNITION|боеприпасы
AMONG|среди (не midst)
AMONGST|Среди
AMOROUS|влюбленный, любовный
AMOUNT|количество, сумма, составлять (сумму)
AMPLE|обширный, просторный
AMUSE|забавлять, развлекать
AMUSEMENT|забава, развлечение
AMUSING|забавный, интересный
AMY|Эми
AN|неопределенный артикль (перед гласным звуком)
ANA|сборник изречений
ANALOGOUS|Аналогичный
ANALYSE|анализировать, разбирать
ANALYSIS|анализ
ANCESTOR|предок
ANCHOR|якорь
ANCIENT|древний
AND|и, а
ANEW|снова, заново
ANGEL|ангел
ANGELA|Анжела
ANGELES|Анхелес
ANGER|гнев, злость
ANGLE|угол, точка зрения
ANGLES|Углы
ANGRILY|сердито 
ANGRY|сердитый
ANGUISH|страдание
ANIMAL|животное
ANIMATED|оживленный, анимированный
ANKLE|щиколотка, лодыжка
ANNA|Анна
ANNE|Энн
ANNIHILATION|уничтожение
ANNIVERSARY|годовщина
ANNOUNCE|объявлять
ANNOUNCED|объявлял, объявленный (от announce)
ANNOUNCEMENT|объявление, сообщение
ANNOY|досаждать, надоедать
ANNOYANCE|Раздражение
ANNUAL|годовой, ежегодный, ежегодник (не yearly)
ANNUALLY|ежегодно
ANOMALY|аномалия
ANONYMOUS|анонимный
ANOTHER|еще один, другой
ANSWER|ответ, отвечать
ANSWERED|ответил (от answer)
ANT|муравей
ANTARCTIC|антарктический
ANTHONY|Энтони
ANTICIPATE|предвидеть
ANTICIPATED|Ожидаемый
ANTIDOTE|противоядие
ANTIQUE|древний (не ancient)
ANTIQUITY|древность
ANTONY|Энтони
ANVIL|наковальня
ANXIETY|тревога, беспокойство
ANXIOUS|беспокойный *n-
ANXIOUSLY|тревожно 
ANYHOW|во всяком случае
ANYONE|любой, всякий( утв предлож), кто-нибудь, никто (в отриц предлож) 
ANYWAY|во что бы то ни стало
ANYWHERE|где-нибудь 
APART|в стороне, отдельно (не aside)
APARTMENT|квартира
APE|обезьяна (человекообразная)
APES|Обезьяны
APEX|верхушка, вершина (не peak)
APIECE|за штуку, поштучно
APOLOGIES|извинения (от apology)
APOLOGIZE|извиняться
APOLOGY|извинение
APP|Приложение
APPALLING|ужасный, плачевный -ing
APPARATUS|аппарат
APPAREL|одевать, наряжать
APPARENT|видимый, очевидный
APPARENTLY|явно, очевидно
APPEAL|апелляция, апеллировать (юр.), обращаться
APPEAR|появляться
APPEARANCE|появление, внешность
APPEARED|появился (от appear)
APPEARS|Появляется
APPENDIX|приложение, аппендикс (анат.)
APPETITE|аппетит, охота, желание
APPLAUSE|аплодисменты
APPLE|яблоко
APPLES|яблоки (от apple)
APPLET|Апплет
APPLICATION|заявление, применение
APPLICATIONS|Заявления(применения)
APPLIED|прикладной
APPLY|обращаться, применять
APPOINTED|Назначенный
APPOINTMENT|условленная встреча *pp*...
APPRECIATE|оценивать
APPROACH|приближаться, подступ
APPROBATION|одобрение (не approvement)
APPROPRIATE|подходящий, соответствующий
APPROVAL|одобрение
APPROVE|одобрять
APPROXIMATE|приблизительный
APPROXIMATELY|приблизительно
APRICOT|абрикос
APRIL|апрель
APRON|фартук
APT|подходящий, уместный, склонный
ARABLE|пахотный
ARBITRARY|произвольный
ARBOUR|беседка, дерево, ось
ARC|дуга (мат.)
ARCADIA|Аркадия
ARCH|арка, дуга
ARCHAIC|устарелый, архаический
ARCHED|Арочный
ARCHIE|Арчи
ARCHIPELAGO|Архипелаг
ARCHITECT|архитектор
ARCHITECTURE|архитектура
ARCTIC|полярный, арктический
ARDENT|пылкий
ARDOUR|жар, пыл, рвение
ARDUOUS|тяжелый, напряженный
ARE|есть (от be)
AREA|площадь, район
ARGUE|спорить
ARGUMENT|спор
ARGUMENTS|Аргументы(споры)
ARID|сухой, засушливый
ARISE|возникать, появляться
ARITHMETIC|арифметика
ARM|рука
ARMAMENT|вооружение
ARMED|вооруженный
ARMIES|Армии
ARMOUR|броня
ARMS|оружие
ARMY|армия
AROSE|возник, появился 
AROUND|вокруг, по
AROUSE|будить, пробуждать
AROUSED|разбуженный 
ARRANGE|устраивать, договариваться
ARRANGEMENT|договоренность
ARRANGEMENTS|Меры (не measurements)
ARRAY|массив, множество, наряжать, украшать
ARREST|арестовывать, арест
ARRESTED|Арестованный
ARRIVAL|прибытие
ARRIVE|приезжать
ARRIVED|приехал, прибыл (от arrive)
ARRIVING|прибывающий (-ing)
ARROW|стрела
ARSON|поджог
ART|искусство
ARTFUL|хитрый, ловкий
ARTICLE|статья, предмет, изделие
ARTICLES|предметы (от article)
ARTIFICIAL|искусственный
ARTILLERY|артиллерия
ARTIST|художник
ARTISTIC|художественный
ARTS|Искусства
AS|как, так, в то время как
ASA|Аса
ASCENT|восхождение, подъем a-
ASCERTAIN|установить, удостовериться
ASCERTAINED|Установленный
ASH|ясень
ASHAMED|пристыженный 
ASHES|Пепел
ASHORE|на берег
ASIA|Азия
ASIDE|в сторону
ASK|просить, спрашивать
ASKED|просил, требовал (от ask)
ASKING|спрашивающий, просящий
ASKS|спрашивает (от ask)
ASLEEP|спящий (не sleepy)
ASPECT|взгляд, точка зрения
ASS|осел (библ.)
ASSASSINATION|убийство
ASSAULT|нападать, нападение
ASSEMBLE|созывать
ASSEMBLED|Собранный
ASSEMBLY|собрание, ассамблея
ASSERTED|Утвержденный (не attested)
ASSET|имущество
ASSIGN|назначать
ASSIGNED|Назначенный
ASSIGNMENT|назначение
ASSIST|помочь, помогать
ASSISTANCE|помощь
ASSISTANT|помощник
ASSISTED|Помогал
ASSOCIATE|соединять, присоединять
ASSOCIATION|ассоциация, соединение
ASSORTMENT|выбор, ассортимент
ASSUME|принимать на себя
ASSUMED|Принятый (не adopted)
ASSUMPTION|предположение
ASSURANCE|заверение, уверенность
ASSURE|уверять, обеспечивать
ASSURED|уверенный, застрахованный 
ASTERISK|звездочка
ASTONISHED|удивленный 
ASTONISHING|Удивительный -ing
ASTONISHMENT|удивление, изумление
ASTRONOMY|астрономия
AT|в, у
ATE|ел, съел (от eat)
ATHLETE|спортсмен, атлет
ATHLETICS|атлетика
ATHWART|через, вопреки (не through)
ATLAS|атлас
ATMOSPHERE|атмосфера
ATMOSPHERIC|атмосферный
ATOM|атом
ATTACH|придавать
ATTACHED|Приложенный (не embedded)
ATTACHMENT|привязанность, прикрепление
ATTACK|нападение, наступать
ATTACKED|Атакованный
ATTACKS|Нападения
ATTEMPT|пробовать, пытаться, попытка
ATTEMPTING|Попытка -ing
ATTEMPTS|Попытки
ATTEND|посещать, обслуживать
ATTENDANCE|присутствие, аудитория
ATTENDANT|служитель, слуга
ATTENDANTS|Дежурные
ATTENDED|обслуженный, обслужил (от attend)
ATTENDING|Посещение(сопровождение) -ing
ATTENTION|внимание
ATTENTIONS|Внимание
ATTENTIVE|внимательный, заботливый
ATTEST|удостоверять
ATTIC|чердак
ATTIRE|украшение, наряд
ATTITUDE|позиция, отношение, поза
ATTORNEY|адвокат, поверенный (не advocate)
ATTRACT|привлекать
ATTRACTION|привлекательность, аттракцион
ATTRACTIVE|привлекательный
ATTRIBUTE|приписывать
ATTRIBUTED|Приписанный
AUCTION|аукцион
AUDACITY|отвага, нахальство
AUDIBLE|слышный, слышимый
AUDIENCE|публика
AUDITORIUM|зрительный зал
AUGUST|август
AUNT|тетя
AUTHENTIC|подлинный
AUTHOR|автор
AUTHORITATIVE|авторитетный
AUTHORITIES|Власти
AUTHORITY|власть, полномочие, управление
AUTHORIZE|санкционировать
AUTHORS|Авторы
AUTO|автомобиль
AUTOBIOGRAPHY|автобиография
AUTOGRAPH|Автограф
AUTOMATIC|автоматический
AUTOMATICALLY|автоматически
AUTOMOBILE|автомобиль
AUTUMN|осень
AUXILIARY|вспомогательный, дополнительный
AVAILABLE|доступный
AVALANCHE|снежный обвал, лавина
AVE|прощание
AVENGE|(ото)мстить
AVENUE|проспект
AVERAGE|средний
AVERSION|отвращение
AVOID|избегать, избежать
AWAIT|ждать
AWAKE|бодрствующий
AWAKENED|Пробужденный
AWARE|сознающий
AWAY|прочь
AWE|(благоговейный) страх
AWESTRUCK|пораженный
AWFUL|ужасный
AWFULLY|ужасно, очень (разг.), крайне
AWHILE|некоторое время
AWKWARD|неуклюжий
AWOKE|будил *w- 
AXIS|ось
AY|Да
AYE|Утвердительный ответ, положительный ответ (не yes)
BAB|Бэб
BABBLE|бормотание, болтовня b-
BABY|ребенок
BACK|спина, назад
BACKED|Поддержанный
BACKGROUND|фон, задний план
BACKS|Задние части b-
BACKUP|Резервный *a-
BACKWARD|назад, обратно, наоборот
BACKWARDS|Назад
BACON|бекон
BAD|плохой
BADE|Предлагал
BADGE|знак, символ, эмблема
BADGER|барсук, травить
BADLY|сильно, плохо
BAFFLE|озадачивать, мешать
BAG|сумка
BAGFUL|мешок b-
BAGGAGE|багаж b-
BAGS|сумки, багаж (от bag)
BAIL|поручительство
BAIT|приманка
BAKER|пекарь, булочник
BAKERY|пекарня
BALANCE|равновесие
BALANCED|уравновешенный
BALCONY|балкон
BALD|лысый, оголенный
BALL|мяч
BALLAST|балласт, опыт, убеждения
BALLET|балет
BALLOON|воздушный шар
BALLOONS|Воздушные шары
BALMY|душистый, нежный, целебный
BAMBOO|бамбук
BAN|запрещать
BANANA|банан
BANANAS|бананы (от banana)
BAND|лента, оркестр, ансамбль (музыкальный)
BANDAGE|бинт, повязка, перевязывать, бинтовать
BANDS|ансамбли (от band)
BANDY|перебрасываться, хоккей, клюшка
BANG|ударять, хлопать (дверью и т.п.)
BANGED|ударенный 
BANISTERS|перила (лестницы)
BANK|банк
BANNER|знамя
BANQUET|банкет
BAR|бар
BARBARA|Барбара
BARBED|колючий, ядовитый
BARE|голый, бедный, простой
BAREFOOTED|босой
BARELY|только, едва (b-)
BARGAIN|сделка
BARGE|баржа
BARK|кора дерева
BARLEY|ячмень
BARN|амбар
BARNABAS|Барнабас
BARNACLE|Моллюск
BARON|Барон
BARREL|баррель
BARREN|бесплодный, неплодородный
BARRIER|барьер, преграда
BARROW|носилки
BARS|Бруски(бары)
BARTON|имение, поместье, усадьба (не estate) 
BASE|основа
BASEBALL|бейсбол
BASED|Основанный
BASEMENT|основание
BASIC|основной b-
BASICALLY|в основном
BASIN|бассейн b-
BASIS|основа, основание
BASKET|корзина
BASS|бас, басовый
BAT|бить
BATCH|выпечка, партия, группа
BATES|Убавляет
BATH|ванна
BATHE|купаться
BATHING|купание, купальный
BATHROOM|ванная комната
BATTERY|аккумулятор
BATTLE|бой, сражение
BAY|бухта, залив
BE|быть
BEACH|пляж
BEACON|сигнальный огонь, маяк
BEAGLE|Гончая
BEAK|клюв
BEAKER|кубок, чаша (не rummer)
BEAM|сиять, излучать (свет)
BEAMED|Сиял
BEAMING|Сияющий (от слова beam)
BEAMS|Лучи
BEAN|боб
BEANS|фасоль
BEAR|медведь, спекулянт
BEARABLE|терпимый, сносный b-
BEARD|борода
BEARER|носитель, податель, предъявитель
BEARING|Отношение(поведение) -ing
BEARS|Медведи
BEAST|зверь, животное
BEASTLY|противный (разг.) от слова ЗВЕРЬ!!!
BEASTS|звери 
BEAT|ударить, бить
BEATEN|битый
BEATING|поражение b-
BEAU|кавалер, поклонник
BEAUTIFUL|красивый
BEAUTIFULLY|красиво, прекрасно
BEAUTY|красота, косметический
BECAME|становился, стал (от become)
BECAUSE|потому что
BECK|кивок, приветствие
BECOME|становиться
BECOMES|становится (от become)
BECOMING|подобающий, приличествующий, соответственный, идущий (к лицу) (не eligible, suitable) -ing
BED|постель
BEDDING|спальные принадлежности (bedding)
BEDROOM|спальня
BEDS|Кровати
BEDSIDE|постель
BEE|пчела
BEECH|бук
BEEF|говядина
BEEHIVE|улей
BEEN|быть (от be)
BEER|пиво
BEES|Пчелы
BEETLE|трамбовать, дробить камни
BEETROOT|красная свекла
BEFORE|перед, до того как
BEFOREHAND|заранее
BEG|просить, умолять
BEGAN|начинал, начал (от begin)
BEGGAR|нищий
BEGIN|начинать(ся)
BEGINNER|новичок (не newcomer)
BEGINNING|начало
BEGINS|начинается (от begin)
BEGUN|Начатый
BEHALF|Защита
BEHAVE|вести себя
BEHAVED|Вел себя
BEHAVIOUR|поведение
BEHELD|Созерцал
BEHIND|позади
BEHOLD|Созерцать
BEING|будучи (от be)
BEINGS|Существа
BELFRY|колокольня
BELIEF|вера, доверие
BELIEVE|верить
BELIEVED|верил, полагал (от believe)
BELIEVES|Верит
BELIEVING|Вера -ing
BELL|звонок (b-)
BELLA|Белла
BELLAMY|Беллами
BELLOW|мычание, греметь, громыхать (не rattle)
BELLY|живот, аппетит
BELONG|принадлежать
BELONGED|принадлежащий 
BELONGINGS|вещи, пожитки
BELOVED|любимый
BELOW|ниже, внизу
BELT|пояс, ремень
BEN|Бен
BENCH|скамейка
BEND|гнуться, изгибаться
BENDING|Изгиб b-
BENEATH|под, ниже, внизу
BENEFIT|благо, польза
BENNET|Беннет
BENT|склонность, наклонность
BERENICE|Беренис
BERRIES|ягоды (от berry)
BERTH|койка, спальное место
BERTRAM|Бертрам
BESET|окружать
BESIDE|рядом, около
BESIDES|кроме, кроме того
BEST|наилучший
BESTOWED|Подаренный
BET|держать пари, пари
BETH|Бет
BETRAY|предавать
BETRAYED|Преданный (от слова предательство)
BETTER|лучше
BETTY|Бетти
BETWEEN|между
BEVERLEY|Беверлей
BEWAIL|оплакивать, скорбеть
BEWARE|осторожно *e-
BEWILDERED|пораженный, изумленный b-
BEYOND|далеко, вдали, на расстоянии, вне, сверх
BIBLE|библия
BICYCLE|велосипед
BICYCLELIST|велосипедист
BID|Предложение
BIDDING|понижение цены -ing
BIG|большой
BIGGER|Больший
BIKE|велосипед
BIKES|Велосипеды
BILL|счет, законопроект
BILLION|биллион, миллиард (амер.)
BILLY|Билли
BIN|бункер 
BINARY|Набор из двух предметов
BIND|связывать (не link)
BINDING|переплет -ing
BINGO|Лото
BIOLOGY|биология
BIRCH|береза, розга
BIRD|птица
BIRTH|рождение
BIRTHDAY|день рождения
BISCUIT|сухое печенье
BISHOP|епископ, слон (шахм.)
BIT|кусочек, немного
BITE|кусаться
BITING|острый, резкий b-ing
BITS|куски 
BITTER|горький, мучительный
BITTERLY|горько, сильно
BLAB|болтун, болтать (не от слова chat)
BLACK|черный
BLACKBIRD|черный дрозд
BLACKEN|чернить, чернеть
BLACKENED|Почерневший
BLADDERS|Пузыри
BLADE|лезвие
BLADES|Лезвия
BLAKE|Блак
BLAME|считать виноватым, вина, упрек, порицание (b-)
BLANK|пустой, чистый b-
BLANKET|одеяло
BLAST|взрыв, взрывать, разрушать
BLAZE|пламя, пылать, гореть (не flame)
BLAZING|Сверкание -ing
BLEACH|белить (ткань)
BLEEDING|Кровотечение
BLEND|смешивать, смесь
BLESS|благословлять
BLESSED|благословлённый 
BLESSING|благословение -ing
BLEW|дул 
BLIND|слепой
BLINK|мерцание, отблеск, блеснуть, моргать b-
BLINKED|Мигал
BLISS|блаженство, счастье
BLIZZARD|метель, пурга
BLOB|капля, комочек (не drop)
BLOBS|Капли (не drops)
BLOCK|блок, квартал
BLOCKADE|блокада
BLOCKED|Блокированный
BLOCKS|кварталы (от block)
BLOND|белокурый
BLONDE|блондин
BLOOD|кровь
BLOODY|кровавый
BLOOM|цветение
BLOSSOM|цветок (на деревьях, кустах), расцветать
BLOT|клякса, пятно, промокать
BLOUSE|блуза
BLOW|дуть
BLOWN|Сдутый
BLUE|синий
BLUNT|притуплять
BLUSH|(по)краснеть; краска стыда, смущения b-
BOARD|садиться на пароход, самолет; доска
BOARDING|посадка (самолёта) -ing
BOAST|хвастовство, хвастать
BOAT|лодка, пароход
BOATS|лодки 
BODIES|Органы(тела)
BODILY|лично, сам, собственной персоной (не myself)
BODY|тело
BOG|трясина
BOIL|кипятить, кипеть
BOILED|вареный, кипяченый
BOILER|котел
BOISTEROUS|неистовый, шумный
BOLD|смелый (не dare)
BOLDLY|Смело
BOLT|молния
BOMB|бомба, бомбить
BONDAGE|рабство, зависимость (не slavery)
BONE|кость
BONES|кости 
BONFIRE|костер
BONNET|капор, дамская шляпа
BONUS|премия
BOOK|книга, покупать (билет)
BOOKCASE|книжный шкаф
BOOKING|продажа билетов -ing
BOOKLET|брошюра, буклет
BOOKS|книги (от book)
BOOKSHELF|книжная полка
BOOST|повышение, повышать
BOOT|ботинок, сапог
BOOTH|кабинка
BOOTS|ботинки, сапоги (от boot)
BOOTY|награбленное добро, добыча
BORDER|граница
BORE|скука
BORING|скучный
BORN|рожденный
BORNE|ограниченный, с узким кругозором, узколобый, закостенелый
BORROW|брать в долг
BORROWED|брал в долг, взятый в долг (от borrow)
BOSOM|грудь (не chest)
BOSS|начальник
BOTH|оба
BOTHER|беспокойство, хлопоты; источник беспокойства
BOTTLE|бутылка
BOTTLES|бутылки (от bottle)
BOTTOM|дно, донышко
BOUGH|ветвь, сук
BOUGHT|купил, купленный (от buy)
BOULEVARD|бульвар
BOUNCE|отскакивать
BOUND|непременный, обязательный
BOUNDARY|граница *o-
BOUNDLESS|безграничный
BOUNDS|граница, ограничение (от bound)
BOUT|черед, круг
BOW|кланяться, сгибаться
BOWED|Поклонился
BOWL|кубок, чаша
BOX|ящик, коробка, ложа (театр.)
BOXES|ложи (от box)
BOXING|бокс
BOY|мальчик, юноша
BRACE|связывать, скреплять (не clamp)
BRACES|подтяжки
BRACKET|скобка, подпорка, заключать в скобки
BRADLEY|Брадлей
BRAIN|мозг
BRAKE|тормоз
BRAKES|тормоза (от brake)
BRANCH|ветвь, отрасль
BRANCHES|ветки 
BRAND|головня, клеймо, фабричная марка, сорт, клеймить
BRANDY|коньяк, бренди
BRASS|установить
BRAVE|храбрый, смелый
BRAVELY|смело
BRAVERY|храбрость, смелость *r-
BRAWL|уличный скандал
BREACH|брешь, пробивать брешь
BREAD|хлеб
BREADTH|ширина, полотнище
BREAK|ломать
BREAKFAST|завтрак
BREAST|грудь
BREATH|дыхание
BREATHE|дышать
BREATHING|дыхание
BREATHLESS|запыхавшийся
BRED|Разводимый
BREECHES|брюки, бриджи (не trousers)
BREED|порода
BREEDER|производитель
BREEDING|разведение
BREEDS|Породы
BREEZE|легкий ветер
BREW|затевать, надвигаться
BREWING|затевающий, надвигающийся (от brew)
BRICK|кирпич
BRICKS|кубики (детские)
BRIDE|невеста
BRIDGE|мост
BRIDLE|узда, повод, взнуздывать
BRIEF|короткий, сводка, резюме
BRIEFCASE|портфель
BRIEFLY|кратко, сжато
BRIGADE|бригада
BRIGHT|ясный
BRIGHTLY|Ярко
BRILLIANCE|блеск, великолепие, яркость (не brightness)
BRILLIANT|блестящий, брильянт
BRIM|край, поля (шляпы)
BRING|приносить, приводить
BRINGS|Приносит
BRISK|живой, проворный b-
BRITAIN|Британия
BRITISH|британский
BRITTLE|хрупкий, ломкий (не fragile)
BROAD|широкий
BROADCAST|передача по радио
BROADCASTING|радиовещание
BROADLY|широко
BROKE|(с)ломал, сломанный (от break)
BROKEN|разбитый, сломанный, нарушенный, ломаный (о языке)
BRONZE|бронзовый
BROOCH|брошь
BROOD|высиживать (цыплят), выводок
BROOK|ручей
BROOM|метла, мести
BROTHER|брат
BROUGHT|принес, принесенный (от bring)
BROW|бровь
BROWN|коричневый
BROWS|Брови
BRUISE|ушибать, синяк, ушиб
BRUISES|Ушибы
BRUSH|щетка, чистить щеткой
BRUSHED|Чистил (не cleaned)
BRUTAL|грубый, жестокий
BRUTALLY|грубо, жестоко
BRUTE|зверь, скотина (не beast)
BUBBLE|пузырь
BUCKET|ведро
BUCKWHEAT|гречиха
BUD|почка, бутон, давать почки, пускать ростки
BUDGE|шевелиться
BUDS|почка, расцветать 
BUFFALO|буйвол
BUFFER|Буфер
BUG|клоп, насекомое, жук (амер.)
BUGS|Ошибки(дефекты)
BUILD|строить
BUILDER|строитель
BUILDING|здание
BUILDS|Строит
BUILT|строил, построенный (от build)
BULB|луковица, электрическая лампочка
BULK|груз, величина
BULKY|громоздкий
BULL|бык
BULLET|пуля
BULLY|запугивать (не scare)
BUM|бездельник, бродяга
BUMP|удар, толчок, шишка, ударять(ся), стукаться **m*
BUN|булочка
BUNCH|связка, пучок
BUNDLE|узел, пакет
BUNGALOW|(одноэтажная) дача, бунгало
BUOY|буй, бакен
BURDEN|груз, бремя
BUREAU|бюро, контора
BURGLARY|кража со взломом
BURIAL|похороны
BURIED|спрятанный, похороненный 
BURLAP|холст, мешковина (не canvas)
BURLY|крепкий 
BURN|гореть, жечь, сжигать
BURST|заливаться, разражаться
BURY|хоронить, прятать
BUS|автобус
BUSH|куст
BUSHES|кусты 
